index	Prov	Con_ACT	Sex	Age	variable	Stay	Months_stayed
0	AB	No	F	18-19	M0	1.0	0
1	AB	No	F	25-29	M0	1.0	0
2	AB	No	F	30-34	M0	1.0	0
3	AB	No	F	30-34	M0	1.0	0
4	AB	No	F	35-39	M0	1.0	0
5	AB	No	F	35-39	M0	1.0	0
6	AB	No	F	35-39	M0	1.0	0
7	AB	No	F	35-39	M0	1.0	0
8	AB	No	F	35-39	M0	1.0	0
9	AB	No	F	35-39	M0	1.0	0
10	AB	No	F	35-39	M0	1.0	0
11	AB	No	F	40-44	M0	1.0	0
12	AB	No	F	40-44	M0	1.0	0
13	AB	No	F	40-44	M0	1.0	0
14	AB	No	F	40-44	M0	1.0	0
15	AB	No	F	40-44	M0	1.0	0
16	AB	No	F	40-44	M0	1.0	0
17	AB	No	F	40-44	M0	1.0	0
18	AB	No	F	45-49	M0	1.0	0
19	AB	No	F	45-49	M0	1.0	0
20	AB	No	F	45-49	M0	1.0	0
21	AB	No	F	45-49	M0	1.0	0
22	AB	No	F	45-49	M0	1.0	0
23	AB	No	F	45-49	M0	1.0	0
24	AB	No	F	45-49	M0	1.0	0
25	AB	No	F	45-49	M0	1.0	0
26	AB	No	F	45-49	M0	1.0	0
27	AB	No	F	50-54	M0	1.0	0
28	AB	No	F	50-54	M0	1.0	0
29	AB	No	F	50-54	M0	1.0	0
30	AB	No	F	50-54	M0	1.0	0
31	AB	No	F	50-54	M0	1.0	0
32	AB	No	F	50-54	M0	1.0	0
33	AB	No	F	50-54	M0	1.0	0
34	AB	No	F	50-54	M0	1.0	0
35	AB	No	F	50-54	M0	1.0	0
36	AB	No	F	50-54	M0	1.0	0
37	AB	No	F	55-59	M0	1.0	0
38	AB	No	F	55-59	M0	1.0	0
39	AB	No	F	55-59	M0	1.0	0
40	AB	No	F	55-59	M0	1.0	0
41	AB	No	F	55-59	M0	1.0	0
42	AB	No	F	55-59	M0	1.0	0
43	AB	No	F	55-59	M0	1.0	0
44	AB	No	F	55-59	M0	1.0	0
45	AB	No	F	55-59	M0	1.0	0
46	AB	No	F	55-59	M0	1.0	0
47	AB	No	F	55-59	M0	1.0	0
48	AB	No	F	55-59	M0	1.0	0
49	AB	No	F	55-59	M0	1.0	0
50	AB	No	F	60-64	M0	1.0	0
51	AB	No	F	60-64	M0	1.0	0
52	AB	No	F	60-64	M0	1.0	0
53	AB	No	F	60-64	M0	1.0	0
54	AB	No	F	60-64	M0	1.0	0
55	AB	No	F	60-64	M0	1.0	0
56	AB	No	F	60-64	M0	1.0	0
57	AB	No	F	60-64	M0	1.0	0
58	AB	No	F	60-64	M0	1.0	0
59	AB	No	F	65+	M0	1.0	0
60	AB	No	F	65+	M0	1.0	0
61	AB	No	F	65+	M0	1.0	0
62	AB	No	F	65+	M0	1.0	0
63	AB	No	F	65+	M0	1.0	0
64	AB	No	M	30-34	M0	1.0	0
65	AB	No	M	30-34	M0	1.0	0
66	AB	No	M	30-34	M0	1.0	0
67	AB	No	M	35-39	M0	1.0	0
68	AB	No	M	35-39	M0	1.0	0
69	AB	No	M	35-39	M0	1.0	0
70	AB	No	M	35-39	M0	1.0	0
71	AB	No	M	40-44	M0	1.0	0
72	AB	No	M	40-44	M0	1.0	0
73	AB	No	M	40-44	M0	1.0	0
74	AB	No	M	40-44	M0	1.0	0
75	AB	No	M	40-44	M0	1.0	0
76	AB	No	M	40-44	M0	1.0	0
77	AB	No	M	40-44	M0	1.0	0
78	AB	No	M	45-49	M0	1.0	0
79	AB	No	M	45-49	M0	1.0	0
80	AB	No	M	45-49	M0	1.0	0
81	AB	No	M	45-49	M0	1.0	0
82	AB	No	M	45-49	M0	1.0	0
83	AB	No	M	45-49	M0	1.0	0
84	AB	No	M	45-49	M0	1.0	0
85	AB	No	M	45-49	M0	1.0	0
86	AB	No	M	45-49	M0	1.0	0
87	AB	No	M	50-54	M0	1.0	0
88	AB	No	M	50-54	M0	1.0	0
89	AB	No	M	50-54	M0	1.0	0
90	AB	No	M	50-54	M0	1.0	0
91	AB	No	M	50-54	M0	1.0	0
92	AB	No	M	50-54	M0	1.0	0
93	AB	No	M	50-54	M0	1.0	0
94	AB	No	M	50-54	M0	1.0	0
95	AB	No	M	50-54	M0	1.0	0
96	AB	No	M	50-54	M0	1.0	0
97	AB	No	M	55-59	M0	1.0	0
98	AB	No	M	55-59	M0	1.0	0
99	AB	No	M	55-59	M0	1.0	0
100	AB	No	M	55-59	M0	1.0	0
101	AB	No	M	60-64	M0	1.0	0
102	AB	No	M	60-64	M0	1.0	0
103	AB	No	M	60-64	M0	1.0	0
104	AB	No	M	60-64	M0	1.0	0
105	AB	No	M	60-64	M0	1.0	0
106	AB	No	M	60-64	M0	1.0	0
107	AB	No	M	60-64	M0	1.0	0
108	AB	No	M	60-64	M0	1.0	0
109	AB	No	M	60-64	M0	1.0	0
110	AB	No	M	60-64	M0	1.0	0
111	AB	No	M	60-64	M0	1.0	0
112	AB	No	M	60-64	M0	1.0	0
113	AB	No	M	65+	M0	1.0	0
114	AB	No	M	65+	M0	1.0	0
115	AB	No	M	65+	M0	1.0	0
116	AB	No	M	65+	M0	1.0	0
117	AB	No	M	65+	M0	1.0	0
118	AB	No	M	65+	M0	1.0	0
119	AB	No	M	65+	M0	1.0	0
120	AB		F	25-29	M0	1.0	0
121	AB		F	30-34	M0	1.0	0
122	AB		F	35-39	M0	1.0	0
123	AB		F	40-44	M0	1.0	0
124	AB		F	40-44	M0	1.0	0
125	AB		F	45-49	M0	1.0	0
126	AB		F	55-59	M0	1.0	0
127	AB		F	55-59	M0	1.0	0
128	AB		F	60-64	M0	1.0	0
129	AB		M	25-29	M0	1.0	0
130	AB		M	30-34	M0	1.0	0
131	AB		M	50-54	M0	1.0	0
132	AB		M	50-54	M0	1.0	0
133	AB		M	55-59	M0	1.0	0
134	AB	Yes	F	18-19	M0	1.0	0
135	AB	Yes	F	40-44	M0	1.0	0
136	AB	Yes	F	45-49	M0	1.0	0
137	AB	Yes	F	55-59	M0	1.0	0
138	AB	Yes	F	55-59	M0	1.0	0
139	AB	Yes	F	55-59	M0	1.0	0
140	AB	Yes	M	35-39	M0	1.0	0
141	AB	Yes	M	50-54	M0	1.0	0
142	AB	Yes	M	55-59	M0	1.0	0
143	AB	Yes	M	60-64	M0	1.0	0
144	Atlantic	No	F	20-24	M0	1.0	0
145	Atlantic	No	F	25-29	M0	1.0	0
146	Atlantic	No	F	30-34	M0	1.0	0
147	Atlantic	No	F	35-39	M0	1.0	0
148	Atlantic	No	F	35-39	M0	1.0	0
149	Atlantic	No	F	35-39	M0	1.0	0
150	Atlantic	No	F	40-44	M0	1.0	0
151	Atlantic	No	F	40-44	M0	1.0	0
152	Atlantic	No	F	40-44	M0	1.0	0
153	Atlantic	No	F	40-44	M0	1.0	0
154	Atlantic	No	F	40-44	M0	1.0	0
155	Atlantic	No	F	40-44	M0	1.0	0
156	Atlantic	No	F	45-49	M0	1.0	0
157	Atlantic	No	F	45-49	M0	1.0	0
158	Atlantic	No	F	45-49	M0	1.0	0
159	Atlantic	No	F	45-49	M0	1.0	0
160	Atlantic	No	F	45-49	M0	1.0	0
161	Atlantic	No	F	45-49	M0	1.0	0
162	Atlantic	No	F	50-54	M0	1.0	0
163	Atlantic	No	F	50-54	M0	1.0	0
164	Atlantic	No	F	50-54	M0	1.0	0
165	Atlantic	No	F	50-54	M0	1.0	0
166	Atlantic	No	F	55-59	M0	1.0	0
167	Atlantic	No	F	55-59	M0	1.0	0
168	Atlantic	No	F	55-59	M0	1.0	0
169	Atlantic	No	F	55-59	M0	1.0	0
170	Atlantic	No	F	55-59	M0	1.0	0
171	Atlantic	No	F	55-59	M0	1.0	0
172	Atlantic	No	F	55-59	M0	1.0	0
173	Atlantic	No	F	55-59	M0	1.0	0
174	Atlantic	No	F	60-64	M0	1.0	0
175	Atlantic	No	F	60-64	M0	1.0	0
176	Atlantic	No	F	60-64	M0	1.0	0
177	Atlantic	No	F	60-64	M0	1.0	0
178	Atlantic	No	F	60-64	M0	1.0	0
179	Atlantic	No	F	60-64	M0	1.0	0
180	Atlantic	No	F	60-64	M0	1.0	0
181	Atlantic	No	F	60-64	M0	1.0	0
182	Atlantic	No	F	60-64	M0	1.0	0
183	Atlantic	No	F	60-64	M0	1.0	0
184	Atlantic	No	F	65+	M0	1.0	0
185	Atlantic	No	F	65+	M0	1.0	0
186	Atlantic	No	F	65+	M0	1.0	0
187	Atlantic	No	F	65+	M0	1.0	0
188	Atlantic	No	F	65+	M0	1.0	0
189	Atlantic	No	F	65+	M0	1.0	0
190	Atlantic	No	F	65+	M0	1.0	0
191	Atlantic	No	F	65+	M0	1.0	0
192	Atlantic	No	F	65+	M0	1.0	0
193	Atlantic	No	F	65+	M0	1.0	0
194	Atlantic	No	M	35-39	M0	1.0	0
195	Atlantic	No	M	40-44	M0	1.0	0
196	Atlantic	No	M	40-44	M0	1.0	0
197	Atlantic	No	M	40-44	M0	1.0	0
198	Atlantic	No	M	45-49	M0	1.0	0
199	Atlantic	No	M	45-49	M0	1.0	0
200	Atlantic	No	M	45-49	M0	1.0	0
201	Atlantic	No	M	45-49	M0	1.0	0
202	Atlantic	No	M	50-54	M0	1.0	0
203	Atlantic	No	M	50-54	M0	1.0	0
204	Atlantic	No	M	55-59	M0	1.0	0
205	Atlantic	No	M	55-59	M0	1.0	0
206	Atlantic	No	M	55-59	M0	1.0	0
207	Atlantic	No	M	55-59	M0	1.0	0
208	Atlantic	No	M	55-59	M0	1.0	0
209	Atlantic	No	M	55-59	M0	1.0	0
210	Atlantic	No	M	55-59	M0	1.0	0
211	Atlantic	No	M	60-64	M0	1.0	0
212	Atlantic	No	M	60-64	M0	1.0	0
213	Atlantic	No	M	60-64	M0	1.0	0
214	Atlantic	No	M	65+	M0	1.0	0
215	Atlantic	No	M	65+	M0	1.0	0
216	Atlantic	No	M	65+	M0	1.0	0
217	Atlantic		F	20-24	M0	1.0	0
218	Atlantic		F	30-34	M0	1.0	0
219	Atlantic		F	40-44	M0	1.0	0
220	Atlantic		F	50-54	M0	1.0	0
221	Atlantic		F	60-64	M0	1.0	0
222	Atlantic		M	35-39	M0	1.0	0
223	Atlantic		M	40-44	M0	1.0	0
224	Atlantic		M	45-49	M0	1.0	0
225	Atlantic		M	55-59	M0	1.0	0
226	Atlantic		M	55-59	M0	1.0	0
227	Atlantic		M	60-64	M0	1.0	0
228	Atlantic		M	65+	M0	1.0	0
229	Atlantic		M	65+	M0	1.0	0
230	Atlantic	Yes	F	40-44	M0	1.0	0
231	Atlantic	Yes	F	45-49	M0	1.0	0
232	Atlantic	Yes	F	50-54	M0	1.0	0
233	Atlantic	Yes	F	60-64	M0	1.0	0
234	Atlantic	Yes	F	60-64	M0	1.0	0
235	Atlantic	Yes	M	50-54	M0	1.0	0
236	Atlantic	Yes	M	55-59	M0	1.0	0
237	Atlantic	Yes	M	55-59	M0	1.0	0
238	BC	No	F	20-24	M0	1.0	0
239	BC	No	F	35-39	M0	1.0	0
240	BC	No	F	35-39	M0	1.0	0
241	BC	No	F	35-39	M0	1.0	0
242	BC	No	F	35-39	M0	1.0	0
243	BC	No	F	35-39	M0	1.0	0
244	BC	No	F	35-39	M0	1.0	0
245	BC	No	F	35-39	M0	1.0	0
246	BC	No	F	40-44	M0	1.0	0
247	BC	No	F	40-44	M0	1.0	0
248	BC	No	F	45-49	M0	1.0	0
249	BC	No	F	45-49	M0	1.0	0
250	BC	No	F	45-49	M0	1.0	0
251	BC	No	F	45-49	M0	1.0	0
252	BC	No	F	45-49	M0	1.0	0
253	BC	No	F	45-49	M0	1.0	0
254	BC	No	F	45-49	M0	1.0	0
255	BC	No	F	45-49	M0	1.0	0
256	BC	No	F	50-54	M0	1.0	0
257	BC	No	F	50-54	M0	1.0	0
258	BC	No	F	50-54	M0	1.0	0
259	BC	No	F	50-54	M0	1.0	0
260	BC	No	F	50-54	M0	1.0	0
261	BC	No	F	50-54	M0	1.0	0
262	BC	No	F	50-54	M0	1.0	0
263	BC	No	F	55-59	M0	1.0	0
264	BC	No	F	55-59	M0	1.0	0
265	BC	No	F	55-59	M0	1.0	0
266	BC	No	F	55-59	M0	1.0	0
267	BC	No	F	55-59	M0	1.0	0
268	BC	No	F	55-59	M0	1.0	0
269	BC	No	F	60-64	M0	1.0	0
270	BC	No	F	60-64	M0	1.0	0
271	BC	No	F	60-64	M0	1.0	0
272	BC	No	F	60-64	M0	1.0	0
273	BC	No	F	60-64	M0	1.0	0
274	BC	No	F	60-64	M0	1.0	0
275	BC	No	F	60-64	M0	1.0	0
276	BC	No	F	60-64	M0	1.0	0
277	BC	No	F	60-64	M0	1.0	0
278	BC	No	F	65+	M0	1.0	0
279	BC	No	F	65+	M0	1.0	0
280	BC	No	F	65+	M0	1.0	0
281	BC	No	F	65+	M0	1.0	0
282	BC	No	F	65+	M0	1.0	0
283	BC	No	F	65+	M0	1.0	0
284	BC	No	F	65+	M0	1.0	0
285	BC	No	F	65+	M0	1.0	0
286	BC	No	F	65+	M0	1.0	0
287	BC	No	M	20-24	M0	1.0	0
288	BC	No	M	30-34	M0	1.0	0
289	BC	No	M	30-34	M0	1.0	0
290	BC	No	M	30-34	M0	1.0	0
291	BC	No	M	30-34	M0	1.0	0
292	BC	No	M	30-34	M0	1.0	0
293	BC	No	M	35-39	M0	1.0	0
294	BC	No	M	40-44	M0	1.0	0
295	BC	No	M	40-44	M0	1.0	0
296	BC	No	M	45-49	M0	1.0	0
297	BC	No	M	45-49	M0	1.0	0
298	BC	No	M	50-54	M0	1.0	0
299	BC	No	M	50-54	M0	1.0	0
300	BC	No	M	50-54	M0	1.0	0
301	BC	No	M	50-54	M0	1.0	0
302	BC	No	M	50-54	M0	1.0	0
303	BC	No	M	50-54	M0	1.0	0
304	BC	No	M	50-54	M0	1.0	0
305	BC	No	M	50-54	M0	1.0	0
306	BC	No	M	50-54	M0	1.0	0
307	BC	No	M	50-54	M0	1.0	0
308	BC	No	M	50-54	M0	1.0	0
309	BC	No	M	55-59	M0	1.0	0
310	BC	No	M	55-59	M0	1.0	0
311	BC	No	M	55-59	M0	1.0	0
312	BC	No	M	60-64	M0	1.0	0
313	BC	No	M	60-64	M0	1.0	0
314	BC	No	M	60-64	M0	1.0	0
315	BC	No	M	60-64	M0	1.0	0
316	BC	No	M	60-64	M0	1.0	0
317	BC	No	M	60-64	M0	1.0	0
318	BC	No	M	60-64	M0	1.0	0
319	BC	No	M	60-64	M0	1.0	0
320	BC	No	M	60-64	M0	1.0	0
