Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,18-19,Tx,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,18-19,events,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,18-19,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,25-29,Tx,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
AB,ALL,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
AB,ALL,ALL,25-29,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,ALL,ALL,30-34,Tx,7,7,7,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,ALL,ALL,30-34,events,,,,,,1,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,30-34,censored,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,ALL,ALL,35-39,Tx,13,11,10,9,8,8,6,6,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
AB,ALL,ALL,35-39,events,,2,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,35-39,censored,,,,1,,,1,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,
