,Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
1,AB,ALL,ALL,18-19,Tx,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB,ALL,ALL,18-19,events,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB,ALL,ALL,18-19,censored,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB,ALL,ALL,25-29,Tx,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
5,AB,ALL,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
6,AB,ALL,ALL,25-29,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
7,AB,ALL,ALL,30-34,Tx,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
8,AB,ALL,ALL,30-34,events,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
9,AB,ALL,ALL,30-34,censored,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
10,AB,ALL,ALL,35-39,Tx,13.0,11.0,10.0,9.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
11,AB,ALL,ALL,35-39,events,,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB,ALL,ALL,35-39,censored,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
13,AB,ALL,ALL,40-44,Tx,17.0,12.0,12.0,12.0,11.0,9.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,
14,AB,ALL,ALL,40-44,events,,3.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB,ALL,ALL,40-44,censored,,2.0,,,,,2.0,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
16,AB,ALL,ALL,45-49,Tx,20.0,17.0,17.0,17.0,14.0,14.0,14.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,
17,AB,ALL,ALL,45-49,events,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,AB,ALL,ALL,45-49,censored,,2.0,,,1.0,,,2.0,,1.0,,,,,,,1.0,,2.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,
19,AB,ALL,ALL,50-54,Tx,23.0,22.0,22.0,20.0,18.0,16.0,16.0,14.0,14.0,14.0,13.0,12.0,12.0,10.0,10.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
20,AB,ALL,ALL,50-54,events,,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,AB,ALL,ALL,50-54,censored,,,,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,,3.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0
22,AB,ALL,ALL,55-59,Tx,24.0,24.0,24.0,24.0,22.0,20.0,20.0,19.0,19.0,18.0,17.0,16.0,14.0,13.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
23,AB,ALL,ALL,55-59,events,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
24,AB,ALL,ALL,55-59,censored,,,,,1.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,1.0,,1.0,
25,AB,ALL,ALL,60-64,Tx,23.0,19.0,18.0,18.0,17.0,17.0,14.0,13.0,12.0,9.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
26,AB,ALL,ALL,60-64,events,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
27,AB,ALL,ALL,60-64,censored,,2.0,,,1.0,,3.0,1.0,,2.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,
28,AB,ALL,ALL,65+,Tx,12.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
29,AB,ALL,ALL,65+,events,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
